Name,ExportName,FileName,TileWidth,TileHeight,TapSound,MinStayTimeRandomAddMinutes,MaxStayTimeRandomAddMinutes,MaxSharedCrates,MaxSharedExtraNeighborhoodCrates,BlackLists
String,String,String,int,int,String,int,int,int,int,String
Boat,riverboat_01,sc/buildings_new.sc,2,4,MenuBleep,0,5,3,1,"Brown_Sugar,White Sugar,Syrup,Caramel Apple,Toffee,Chocolate,Lollipop,Jelly Beans,Cookie,Potato Bread,Pancakes,SesameIceCream"
,,,,,,,,,,"Espreso,Latte,Mocha,Raspberry Mocha,Hot Chocolate,BananaLatte,Caramel latte"
,,,,,,,,,,"Popcorn,Butter Popcorn,Chili Popcorn,Chocolate Popcorn,Honey Popcorn,Snack Mix"
,,,,,,,,,,"Cream,Butter,Cheese,Goat Cheese"
,,,,,,,,,,"ClocheHat,TopHat,SunHat,FlowerCrown"
,,,,,,,,,,"Green Tea,Milk Tea,Honey Tea,Lemon Tea,Orange Tea,Ice Tea,MintTea,GingerTea"
,,,,,,,,,,"Apple Jam,Raspberry Jam,Blackberry Jam,Cherry Jam,Strawberry Jam,Marmelade,Peach Jam,Grape Jam,PlumJam"
,,,,,,,,,,"Bread,Corn Bread,Cookie,Raspberry Muffin,Blackberry Muffin,Pizza,Spicy Pizza,Potato Bread,Frutti di Mare Pizza,BananaBread,Gingerbread Cookie"
,,,,,,,,,,"Pancakes,Bacon and Eggs,Hamburger,Fishburger,Roasted Tomatoes,Baked Potato,Fish and Chips,Lobster Skewer,Grilled Onion,BananaPancakes,Grilled Eggplant,FishSkewer,Garlic bread,Roast veggies,Stuffed Bellpeppers"
,,,,,,,,,,"Carrot Cake,Birthday Cake,Berry Cake,Cheese Cake,Strawberry Cake,Chocolate Cake,Potato Feta Cake,Honey Apple Cake,Lemon Cake,Fruitcake,Pineapple Cake,Fancy Cake,Chocolate Roll"
,,,,,,,,,,"Strawberry Candle,Raspberry Candle,Lemon Candle,Floral candle"
,,,,,,,,,,"Lobster Meat,Duck Down,Frutti di Mare Pizza,Lobster Skewer,Lobster Pasta,SeafoodSalad,LobsterSushi,Pillow,Blanket,TopHat,SunHat"
,,,,,,,,,,"Honey,Beeswax,Honey Tea,Honey Popcorn,Honey Apple Cake,Honey Toast,Honeycomb,PlumSmoothie,Cucumber Smoothie,SesameBrittle"
,,,,,,,,,,"Hot Dog,Tofu Dog,Corn Dog,Onion Dog"
,,,,,,,,,,"Vanilla Ice Cream,Cherry Popsicle,Strawberry Ice Cream,Chocolate Ice Cream,Orange Sorbet,Peach Ice Cream,BananaSplit,MintIcecream,SesameIceCream,Peanut Butter Milkshake"
,,,,,,,,,,"Carrot Juice,Apple Juice,Berry Juice,Tomato Juice,Cherry Juice,Orange Juice,Grape Juice,WatermelonLemonade,Pineapple Juice"
,,,,,,,,,,"Sweater,Blue Woolly Hat,Blue Sweater,Cotton Fabrics,Red Scarf,Flower Shawl,Soft Bouquet"
,,,,,,,,,,"Raw Pasta,Rice Noodles"
,,,,,,,,,,"Gnocchi,Lobster Pasta,Lasagna,Pasta Carbonara,Spicy spaghetti,Broccoli Mac,MushroomPasta"
,,,,,,,,,,"Carrot Pie,Pumpkin Pie,Bacon Pie,Fish Pie,Apple Pie,Feta Pie,Casserole,Shepherds Pie,Lemon Pie,Peach Tart,Eggplant Parmesan,Chocolate Pie"
,,,,,,,,,,"GreekSalad,BaconSalad,SeafoodSalad,Pasta Salad,Fruit Salad,Summer Salad,Summer Rolls,VeggieDip,MushroomSalad,Beetroot salad"
,,,,,,,,,,"VeggieBagel,BLTToast,EggSandwich,Honey Toast,Goat Cheese Toast,Onion melt,Cucumber Sandwich,PBJ Sandwich"
,,,,,,,,,,"SoySauce,OliveOil,Mayonaise,Lemon Curd,Tomato Sauce,Salsa,Olive Dip"
,,,,,,,,,,"BerrySmoothie,GreenSmoothie,YogurtSmoothie,MixedSmoothie,Cocoa smoothie,PlumSmoothie,Cucumber Smoothie,SesameSmoothie"
,,,,,,,,,,"Lobster Soup,Tomato Soup,Fish Soup,Noodle Soup,Pumpkin Soup,Onion Soup,PotatoSoup,PepperSoup,Broccoli Soup,MushroomSoup"
,,,,,,,,,,"SushiRoll,LobsterSushi,EggRoll,SoySauce,Big sushi roll,Rice Ball"
,,,,,,,,,,"Taco,Fish Taco,Quesadilla,Nachos"
,,,,,,,,,,"Lemon,Lemon Tea,Lemon Curd,Lemon Candle,Pasta Salad,Lemon Pie,Lemon Cake,Olive Dip"
,,,,,,,,,,"Orange,Orange Tea,Marmelade,Orange Sorbet,Orange Juice,MixedSmoothie"
,,,,,,,,,,"Peach,Ice Tea,Peach Ice Cream,Peach Jam,Peach Tart,MixedSmoothie"
,,,,,,,,,,"Apple,Apple Jam,Caramel Apple,Apple Juice,Apple Pie,Honey Apple Cake,GingerTea"
,,,,,,,,,,"Blackberry,Blackberry Jam,Blackberry Muffin,BerrySmoothie,Berry Juice,Fruit Salad,Jelly Beans,BananaPancakes,Flower Shawl"
,,,,,,,,,,"Cherry,Cherry Jam,Cherry Juice,Berry Cake,YogurtSmoothie,Cherry Popsicle,Fruitcake"
,,,,,,,,,,"Cacao,Chocolate Popcorn,Hot Chocolate,Mocha,Raspberry Mocha,Chocolate,Chocolate Cake,Chocolate Ice Cream,Cocoa smoothie,MintIcecream,Fried Candy,Peanut Butter Milkshake,Chocolate Roll,Chocolate Pie"
,,,,,,,,,,"Coffee,Espreso,Latte,Mocha,Raspberry Mocha,BananaLatte,Caramel latte"
,,,,,,,,,,"Olive,OliveOil,Pasta Salad,Mayonaise,Corn Dog,GreekSalad,VeggieBagel,Olive Dip,PepperSoup,Meat fondue,Spicy fish"
,,,,,,,,,,"Raspberry,Raspberry Jam,Raspberry Muffin,Jelly Beans,Berry Cake,Berry Juice,BerrySmoothie,Raspberry Candle,Violet Dress,YogurtSmoothie,Raspberry Mocha,SunHat,Fancy Cake"
,,,,,,,,,,"Duck Down,Pillow,Blanket,TopHat,SunHat"
,,,,,,,,,,"Lobster Meat,Frutti di Mare Pizza,Lobster Skewer,Lobster Pasta,SeafoodSalad,LobsterSushi"
,,,,,,,,,,"Goat Milk,Goat Cheese,Tomato Soup,Potato Feta Cake,GreekSalad,Summer Salad,Feta Pie,Goat Cheese Toast,MushroomPasta,Beetroot salad"
,,,,,,,,,,"Wool,ClocheHat,SunHat,Sweater,Blue Woolly Hat,Blue Sweater,Red Scarf,Wooly Pants,Flower Shawl"
,,,,,,,,,,"Bread,Hamburger,Fishburger,Onion Dog,Onion Soup,Hot Dog,VeggieBagel,BLTToast,EggSandwich,Honey Toast,Goat Cheese Toast,Cucumber Sandwich,Garlic bread"
,,,,,,,,,,"Tomato,Roasted Tomatoes,Tomato Juice,Tomato Soup"
,,,,,,,,,,"Milk,Frutti di Mare Pizza,Baked Potato,Carrot Cake,Birthday Cake,Cheese Cake,Lemon Cake,Chocolate,Latte,Hot Chocolate,Vanilla Ice Cream,Strawberry Ice Cream,Chocolate Ice Cream,Casserole,Lasagna,Butter Popcorn,Grilled Onion,Peach Ice Cream,Lobster Soup,Fish Soup,Quesadilla,Milk Tea,Chocolate Cake,Toffee,Cream,Butter,Cheese,Vanilla Ice Cream,Strawberry Ice Cream,Chocolate Ice Cream,YogurtSmoothie,Pizza,Spicy Pizza,Berry Cake,Strawberry Cake,Mocha,Raspberry Mocha,Hot Chocolate,Honey Toast,Lemon Curd,Peach Tart,Pumpkin Soup,Onion Soup,Nachos,Potato Bread,Baked Potato,Gnocchi,Lobster Pasta,BananaPancakes,BananaLatte,BananaSplit,PotatoSoup,MintIcecream,VeggieDip,Eggplant Parmesan,Broccoli Mac,SesameIceCream,MushroomSoup,Garlic bread,Fancy Cake,Cheese fondue,Chocolate fondue,Stuffed Peppers,Peanut Butter Milkshake,Stuffed Bellpeppers"
,,,,,,,,,,"Fish Meat,Frutti di Mare Pizza,SeafoodSalad,Fish Soup,SushiRoll,Fish Taco,Fishburger,Fish and Chips,Fish Pie,Olive Dip,Big sushi roll,FishSkewer,Spicy fish"
,,,,,,,,,,"Onion,Grilled Onion,MushroomSoup,Tofu stir fry"
,,,,,,,,,,"TopHat,Cotton Shirt,Wooly Pants,Violet Dress,Pillow,Blanket,Cotton Fabrics,Gracious bouquet,Veggie Bouquet"
,,,,,,,,,,"Raw Pasta,Lobster Pasta,Lasagna,Pasta Salad,Pasta Carbonara,Broccoli Mac,MushroomPasta"
,,,,,,,,,,"Rice Noodles,Noodle Soup,Summer Rolls"
,,,,,,,,,,"BaconSalad,SeafoodSalad,BLTToast,EggSandwich,Mayonaise,Cucumber Sandwich"
,,,,,,,,,,"Bacon,Corn Dog,Bacon Pie,Onion Dog,Bacon and Eggs,Hamburger,Hot Dog,BaconSalad,Taco,Casserole,Shepherds Pie,BLTToast,Pasta Carbonara,MushroomSalad,Meat fondue"
,,,,,,,,,,"Banana,BananaBread,BananaPancakes,BananaLatte,BananaSplit,Cocoa smoothie"
,,,,,,,,,,"Bright Bouquet,Rustic Bouquet,Soft Bouquet,Candy bouquet,Veggie Bouquet"
,,,,,,,,,,"Tomato Sauce,Spicy spaghetti,Lasagna,Hot Dog,Eggplant Parmesan"
,,,,,,,,,,"Toffee,Candy bouquet,Caramel latte"
,,,,,,,,,,"Caramel Apple,Candy bouquet"
,,,,,,,,,,"PlumSmoothie,Plum,PlumJam,Rice Ball"
,,,,,,,,,,"Salsa,Grilled Eggplant,Taco,Nachos"
,,,,,,,,,,"Ginger,FishSkewer,SesameBrittle,GingerTea"
,,,,,,,,,,"Mushroom,FishSkewer,MushroomPasta,MushroomSalad,MushroomSoup"
,,,,,,,,,,"Sesame,FishSkewer,SesameBrittle,SesameIceCream,SesameSmoothie,Tofu stir fry"
,,,,,,,,,,"Spicy fish,Fried rice,Tofu stir fry"
,,,,,,,,,,"Cheese fondue,Meat fondue,Chocolate fondue"
,,,,,,,,,,"Lily,Fancy Cake,Gracious bouquet"
,,,,,,,,,,"Potato Bread,Cheese fondue"
,,,,,,,,,,"Garlic,Garlic bread,Spicy fish"
,,,,,,,,,,"Egg,Fried rice,Bacon and Eggs,EggRoll"
,,,,,,,,,,"Rice,Fried rice,EggRoll,LobsterSushi,SushiRoll,Big sushi roll"
,,,,,,,,,,"CandiedPeanuts,Caramel Apple,Toffee,Chocolate,Lollipop,Jelly Beans,SesameBrittle"
,,,,,,,,,,"Stuffed Peppers,Loaded Fries,Hand Pies,Fried Candy"
,,,,,,,,,,"Peanut noodles,Fried rice,Tofu stir fry,Spicy fish"
,,,,,,,,,,"Peanut noodles,PBJ Sandwich,CandiedPeanuts,Fried Candy,Peanut Butter Milkshake,Chocolate Pie,Snack Mix"
